City,Date,AQI,pct_Traffic,pct_Construction_Dust,pct_Industrial,pct_Crop_Biomass Burning,pct_Secondary_Photochemical,top_source,confidence_pct
Delhi,2015-01-01,472.0,28.7,18.6,11.2,21.3,20.2,Traffic,59.6
Delhi,2015-01-02,454.0,33.6,13.5,9.4,26.7,16.8,Traffic,59.0
Delhi,2015-01-03,143.0,39.1,16.6,8.3,22.7,13.3,Traffic,71.3
Delhi,2015-01-04,319.0,35.6,16.6,8.5,24.8,14.5,Traffic,64.0
Delhi,2015-01-05,325.0,36.4,15.0,8.3,26.4,13.9,Traffic,63.0
Delhi,2015-01-06,318.0,34.6,18.2,8.4,23.8,15.0,Traffic,64.0
Delhi,2015-01-07,353.0,33.1,18.1,8.8,24.4,15.6,Traffic,61.3
Delhi,2015-01-08,383.0,34.6,15.5,8.3,25.2,16.4,Traffic,62.2
Delhi,2015-01-09,375.0,31.4,20.6,8.3,22.3,17.3,Traffic,61.8
Delhi,2015-01-10,376.0,33.6,16.1,8.8,23.4,18.1,Traffic,63.3
Delhi,2015-01-11,379.0,30.5,18.3,8.6,19.6,22.9,Traffic,59.9
Delhi,2015-01-12,375.0,32.4,15.8,8.6,22.4,20.8,Traffic,63.0
Delhi,2015-01-13,366.0,33.6,14.3,8.8,22.5,20.8,Traffic,64.4
Delhi,2015-01-14,353.0,33.5,12.5,8.5,22.6,22.9,Traffic,63.8
Delhi,2015-01-15,340.0,33.3,16.5,9.2,19.6,21.5,Traffic,65.3
Delhi,2015-01-16,356.0,33.8,18.1,8.5,21.5,18.2,Traffic,66.0
Delhi,2015-01-17,360.0,35.3,19.0,8.6,22.9,14.2,Traffic,66.1
Delhi,2015-01-18,370.0,35.7,18.7,8.7,23.3,13.6,Traffic,66.1
Delhi,2015-01-19,362.0,34.5,17.5,8.5,25.2,14.3,Traffic,62.1
Delhi,2015-01-20,340.0,34.8,16.2,8.5,26.8,13.7,Traffic,60.4
Delhi,2015-01-21,338.0,32.8,14.7,10.1,29.3,13.0,Traffic,54.6
Delhi,2015-01-22,332.0,33.8,12.3,12.5,28.7,12.7,Traffic,56.6
Delhi,2015-01-23,254.0,35.1,11.5,10.0,30.7,12.7,Traffic,55.7
Delhi,2015-01-24,324.0,32.1,11.9,13.1,30.2,12.7,Traffic,52.5
Delhi,2015-01-25,333.0,34.6,13.1,9.3,30.2,12.9,Traffic,55.7
Delhi,2015-01-26,292.0,36.6,11.5,9.9,29.1,13.0,Traffic,59.8
Delhi,2015-01-27,318.0,35.8,13.4,9.4,28.5,12.9,Traffic,59.5
Delhi,2015-01-28,295.0,37.3,11.8,8.9,29.2,12.8,Traffic,60.5
Delhi,2015-01-29,327.0,35.9,16.8,8.8,25.8,12.8,Traffic,63.1
Delhi,2015-01-30,345.0,36.2,15.5,9.3,26.4,12.7,Traffic,62.7
Delhi,2015-01-31,334.0,38.7,12.3,8.7,27.5,12.9,Traffic,64.6
Delhi,2015-02-01,358.0,34.7,17.5,12.6,21.8,13.5,Traffic,66.8
Delhi,2015-02-02,349.0,36.4,12.5,8.8,26.4,16.0,Traffic,63.0
Delhi,2015-02-03,334.0,34.8,12.0,9.0,27.8,16.4,Traffic,59.1
Delhi,2015-02-04,313.0,37.4,11.5,8.8,29.6,12.8,Traffic,60.1
Delhi,2015-02-05,262.0,39.2,11.2,8.7,27.4,13.6,Traffic,65.3
Delhi,2015-02-06,303.0,32.9,21.0,11.0,18.1,16.9,Traffic,65.5
Delhi,2015-02-07,329.0,35.3,11.9,9.3,20.9,22.6,Traffic,66.5
Delhi,2015-02-08,323.0,36.0,13.9,11.3,22.3,16.5,Traffic,67.8
Delhi,2015-02-09,266.0,36.6,11.1,14.3,24.8,13.2,Traffic,65.3
Delhi,2015-02-10,319.0,38.4,13.4,9.0,26.2,13.1,Traffic,65.9
Delhi,2015-02-11,334.0,33.0,26.1,9.5,17.0,14.4,Traffic,59.0
Delhi,2015-02-12,342.0,31.5,22.6,11.4,20.5,14.0,Traffic,61.6
Delhi,2015-02-13,341.0,33.1,20.7,9.9,21.5,14.8,Traffic,65.1
Delhi,2015-02-14,377.0,31.7,20.5,11.3,19.4,17.0,Traffic,64.6
Delhi,2015-02-15,391.0,30.2,22.9,10.6,17.4,18.8,Traffic,59.5
Delhi,2015-02-16,358.0,32.1,20.9,9.2,20.0,17.8,Traffic,64.6
Delhi,2015-02-17,327.0,30.6,11.8,8.8,24.7,24.1,Traffic,57.7
Delhi,2015-02-18,365.0,36.0,12.1,10.8,21.9,19.1,Traffic,68.3
Delhi,2015-02-19,352.0,36.7,11.7,8.7,25.2,17.8,Traffic,65.0
Delhi,2015-02-20,317.0,36.0,11.6,9.0,25.4,18.0,Traffic,63.8
Delhi,2015-02-21,320.0,34.1,11.7,16.7,21.5,16.0,Traffic,66.4
Delhi,2015-02-22,279.0,37.5,11.2,9.0,26.4,15.8,Traffic,64.4
Delhi,2015-02-23,281.0,33.5,11.4,12.7,22.1,20.4,Traffic,64.8
Delhi,2015-02-24,354.0,34.2,12.5,11.9,21.6,19.8,Traffic,66.4
Delhi,2015-02-25,340.0,34.7,11.6,9.1,26.4,18.2,Traffic,60.8
Delhi,2015-02-26,323.0,33.6,12.0,10.0,27.7,16.8,Traffic,57.7
Delhi,2015-02-27,315.0,30.0,11.9,17.7,21.6,18.9,Traffic,60.9
Delhi,2015-02-28,310.0,27.6,15.6,16.9,17.8,22.0,Traffic,57.3
Delhi,2015-03-01,324.0,35.1,13.2,19.4,18.4,13.8,Traffic,70.4
Delhi,2015-03-02,226.0,46.3,12.2,8.4,18.6,14.6,Traffic,86.0
Delhi,2015-03-03,266.0,39.9,13.2,8.9,24.4,13.6,Traffic,70.2
Delhi,2015-03-04,200.0,35.9,16.9,8.6,23.1,15.3,Traffic,66.6
Delhi,2015-03-05,275.0,31.9,20.8,9.0,19.9,18.3,Traffic,64.4
Delhi,2015-03-06,322.0,32.9,17.4,9.1,21.1,19.6,Traffic,65.3
Delhi,2015-03-07,216.0,39.9,12.1,9.1,24.4,14.6,Traffic,70.2
Delhi,2015-03-08,108.0,43.1,13.1,8.6,21.3,13.8,Traffic,78.3
Delhi,2015-03-09,197.0,36.9,18.1,8.6,22.2,14.2,Traffic,69.1
Delhi,2015-03-10,238.0,32.7,22.2,8.4,21.5,15.2,Traffic,63.6
Delhi,2015-03-11,274.0,32.8,19.4,9.3,21.7,16.9,Traffic,64.4
Delhi,2015-03-12,315.0,31.9,19.1,9.6,20.1,19.4,Traffic,65.3
Delhi,2015-03-13,307.0,31.0,16.2,14.9,19.3,18.7,Traffic,65.2
Delhi,2015-03-14,208.0,35.9,17.0,16.3,16.7,14.2,Traffic,74.6
Delhi,2015-03-15,165.0,50.4,12.9,8.9,13.0,14.8,Traffic,95.0
Delhi,2015-03-16,188.0,36.3,21.3,14.2,12.5,15.7,Traffic,69.5
Delhi,2015-03-17,217.0,35.1,26.1,10.4,14.2,14.2,Traffic,61.7
Delhi,2015-03-18,191.0,34.3,27.3,8.4,13.3,16.6,Traffic,59.1
Delhi,2015-03-19,240.0,32.6,26.2,8.7,16.9,15.7,Traffic,58.3
Delhi,2015-03-20,229.0,33.2,20.3,9.5,20.5,16.5,Traffic,66.5
Delhi,2015-03-21,248.0,33.1,21.4,10.1,20.4,14.9,Traffic,65.2
Delhi,2015-03-22,204.0,34.9,21.9,8.6,19.3,15.3,Traffic,66.9
Delhi,2015-03-23,271.0,34.4,20.7,8.5,20.3,16.0,Traffic,67.8
Delhi,2015-03-24,290.0,31.1,22.0,9.9,17.7,19.3,Traffic,61.8
Delhi,2015-03-25,340.0,28.5,18.3,14.8,16.1,22.2,Traffic,58.2
Delhi,2015-03-26,358.0,29.7,20.5,11.8,17.4,20.7,Traffic,61.7
Delhi,2015-03-27,287.0,30.5,22.2,16.4,13.6,17.3,Traffic,60.8
Delhi,2015-03-28,323.0,26.4,19.9,19.2,15.0,19.5,Traffic,58.4
Delhi,2015-03-29,360.0,28.7,19.0,19.8,15.9,16.7,Traffic,61.6
Delhi,2015-03-30,268.0,43.0,13.3,12.5,13.6,17.6,Traffic,83.0
Delhi,2015-03-31,283.0,34.8,13.9,14.9,14.3,22.2,Traffic,66.4
Delhi,2015-04-01,309.0,28.3,13.3,22.2,16.8,19.4,Traffic,57.9
Delhi,2015-04-02,249.0,28.5,13.3,21.4,16.5,20.3,Traffic,59.2
Delhi,2015-04-03,245.0,35.4,11.8,19.4,18.2,15.2,Traffic,70.8
